,datetime,tempmax,year,10_year_rolling_avg
10,1990-12-31 00:00:00,24.66666666666667,1990,30.46
11,1991-12-31 00:00:00,39.05555555555556,1991,30.96
12,1992-12-31 00:00:00,30.055555555555557,1992,31.76
13,1993-12-31 00:00:00,31.666666666666668,1993,32.17
14,1994-12-31 00:00:00,34.55555555555556,1994,32.42
15,1995-12-31 00:00:00,36.05555555555556,1995,33.17
16,1996-12-31 00:00:00,32.666666666666664,1996,33.3
17,1997-12-31 00:00:00,29.055555555555557,1997,32.54
18,1998-12-31 00:00:00,33.166666666666664,1998,32.35
19,1999-12-31 00:00:00,35.55555555555556,1999,32.65
20,2000-12-31 00:00:00,35.833333333333336,2000,33.77
21,2001-12-31 00:00:00,39.05555555555556,2001,33.77
22,2002-12-31 00:00:00,35.05555555555556,2002,34.27
23,2003-12-31 00:00:00,35.666666666666664,2003,34.67
24,2004-12-31 00:00:00,34.05555555555556,2004,34.62
25,2005-12-31 00:00:00,36.05555555555556,2005,34.62
26,2006-12-31 00:00:00,36.05555555555556,2006,34.96
27,2007-12-31 00:00:00,37.05555555555556,2007,35.76
28,2008-12-31 00:00:00,35.333333333333336,2008,35.97
29,2009-12-31 00:00:00,36.05555555555556,2009,36.02
30,2010-12-31 00:00:00,46.94444444444444,2010,37.13
31,2011-12-31 00:00:00,35.72222222222222,2011,36.8
32,2012-12-31 00:00:00,36.0,2012,36.89
33,2013-12-31 00:00:00,36.166666666666664,2013,36.94
34,2014-12-31 00:00:00,35.333333333333336,2014,37.07
35,2015-12-31 00:00:00,36.44444444444444,2015,37.11
36,2016-12-31 00:00:00,37.388888888888886,2016,37.24
37,2017-12-31 00:00:00,55.944444444444436,2017,39.13
38,2018-12-31 00:00:00,37.0,2018,39.3
39,2019-12-31 00:00:00,37.0,2019,39.39
40,2020-12-31 00:00:00,38.55555555555556,2020,38.56
41,2021-12-31 00:00:00,37.0,2021,38.68
42,2022-12-31 00:00:00,53.94444444444444,2022,40.48
43,2023-12-31 00:00:00,37.0,2023,40.56
10,2024-12-31 00:00:00+00:00,35.3662160977062,2024,34.75
11,2025-12-31 00:00:00+00:00,36.28622942239625,2025,34.97
12,2026-12-31 00:00:00+00:00,35.14779627869771,2026,35.01
13,2027-12-31 00:00:00+00:00,34.986780961984806,2027,35.04
14,2028-12-31 00:00:00+00:00,35.06650756870931,2028,35.12
15,2029-12-31 00:00:00+00:00,34.950820456293854,2029,35.19
16,2030-12-31 00:00:00+00:00,35.640401912699645,2030,35.33
17,2031-12-31 00:00:00+00:00,35.13641904471751,2031,35.4
18,2032-12-31 00:00:00+00:00,35.19621990997291,2032,35.38
19,2033-12-31 00:00:00+00:00,35.373146185271054,2033,35.32
20,2034-12-31 00:00:00+00:00,34.219166654660825,2034,35.2
21,2035-12-31 00:00:00+00:00,34.91323797621726,2035,35.06
22,2036-12-31 00:00:00+00:00,35.633162122501915,2036,35.11
23,2037-12-31 00:00:00+00:00,35.69413739042176,2037,35.18
24,2038-12-31 00:00:00+00:00,36.23223209114306,2038,35.3
25,2039-12-31 00:00:00+00:00,35.33590299395189,2039,35.34
26,2040-12-31 00:00:00+00:00,35.94428512837732,2040,35.37
27,2041-12-31 00:00:00+00:00,35.33140714104212,2041,35.39
28,2042-12-31 00:00:00+00:00,34.64316284733303,2042,35.33
29,2043-12-31 00:00:00+00:00,35.994378738372006,2043,35.39
30,2044-12-31 00:00:00+00:00,35.58872007064937,2044,35.53
31,2045-12-31 00:00:00+00:00,35.61190030103654,2045,35.6
32,2046-12-31 00:00:00+00:00,36.3495299822448,2046,35.67
33,2047-12-31 00:00:00+00:00,36.08896978941112,2047,35.71
34,2048-12-31 00:00:00+00:00,35.491037166649136,2048,35.64
35,2049-12-31 00:00:00+00:00,37.52044540911584,2049,35.86
36,2050-12-31 00:00:00+00:00,36.34278614855731,2050,35.9
37,2051-12-31 00:00:00+00:00,36.5646876555615,2051,36.02
38,2052-12-31 00:00:00+00:00,35.88329987153389,2052,36.14
39,2053-12-31 00:00:00+00:00,36.91763051325973,2053,36.24
40,2054-12-31 00:00:00+00:00,37.07938675131419,2054,36.38
41,2055-12-31 00:00:00+00:00,36.38580503760872,2055,36.46
42,2056-12-31 00:00:00+00:00,36.44164415746724,2056,36.47
43,2057-12-31 00:00:00+00:00,37.444035409615594,2057,36.61
44,2058-12-31 00:00:00+00:00,37.2109886796579,2058,36.78
45,2059-12-31 00:00:00+00:00,37.517386173301674,2059,36.78
46,2060-12-31 00:00:00+00:00,37.30231935854016,2060,36.87
47,2061-12-31 00:00:00+00:00,36.93445267038115,2061,36.91
48,2062-12-31 00:00:00+00:00,38.03056468916069,2062,37.13
49,2063-12-31 00:00:00+00:00,36.59691645563254,2063,37.09
50,2064-12-31 00:00:00+00:00,36.48654131373934,2064,37.04
51,2065-12-31 00:00:00+00:00,36.76495099555757,2065,37.07
52,2066-12-31 00:00:00+00:00,38.191751454859315,2066,37.25
53,2067-12-31 00:00:00+00:00,38.29076269299139,2067,37.33
54,2068-12-31 00:00:00+00:00,37.51632003806501,2068,37.36
55,2069-12-31 00:00:00+00:00,36.779253197226865,2069,37.29
56,2070-12-31 00:00:00+00:00,37.22923602135086,2070,37.28
57,2071-12-31 00:00:00+00:00,37.54545003879076,2071,37.34
58,2072-12-31 00:00:00+00:00,37.33244590955468,2072,37.27
59,2073-12-31 00:00:00+00:00,37.15254368594188,2073,37.33
60,2074-12-31 00:00:00+00:00,37.30613160798256,2074,37.41
61,2075-12-31 00:00:00+00:00,38.589670801751055,2075,37.59
62,2076-12-31 00:00:00+00:00,37.254432768586895,2076,37.5
63,2077-12-31 00:00:00+00:00,37.55671087893893,2077,37.43
64,2078-12-31 00:00:00+00:00,37.31100896787356,2078,37.41
65,2079-12-31 00:00:00+00:00,38.729180895930426,2079,37.6
66,2080-12-31 00:00:00+00:00,37.308420801751055,2080,37.61
